"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","ANO"
"1","Juan Silveira dos Santos","juan","Juan","https://s.glbimg.com/es/sde/f/2018/05/04/a27fb246da3d1abe49c7f9865bfc827e_FORMATO.png",36540,11,"FLA","zag","Nulo",0,7.2,0,2.6,"Flamengo",2018
"2","Gilson Kleina","gilson-kleina","Gilson Kleina","https://s.glbimg.com/es/sde/f/2018/05/24/1d41c49023a010d80f959bd498bb24df_FORMATO.png",37306,11,"CHA","tec","Provável",6.44,8.09,0.79,3.75,"Chapecoense",2018
"3","Michel Fernandes Bastos","michel-bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2018/05/24/0126c46938216c0c50c04a26ea95c336_FORMATO.png",37607,11,"SPO","mei","Nulo",6.2,5.27,1.2,3.16,"Sport",2018
"4","Breno Vinicius Rodrigues Borges","breno","Breno","https://s.glbimg.com/es/sde/f/2018/04/09/f2c6c8bfe27315c6e7bd65079343b249_FORMATO.png",50408,11,"VAS","zag","Contundido",0,3.22,0,-2.45,"Vasco",2018
"5","Felipe Azevedo dos Santos","felipe-azevedo","Felipe Azevedo","https://s.glbimg.com/es/sde/f/2018/05/25/06e70ad1ce0d550bfea7c97c67603a63_FORMATO.png",60825,11,"CEA","ata","Provável",15.1,6.75,2.72,2.42,"Ceará",2018
"6","Luis Antônio Venker de Menezes","mano-menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2018/05/18/b67ea93f254fb3c5b6517b9f84238c19_FORMATO.png",37281,11,"CRU","tec","Provável",1.69,10.43,-0.37,4.17,"Cruzeiro",2018
"7","Rafael Ramos de Lima","rafael-lima","Rafael Lima","https://s.glbimg.com/es/sde/f/2018/05/07/6123b7312aae05bb91758e6299354a5e_FORMATO.png",50361,11,"AME","zag","Nulo",0,6.8,0,1.97,"América-MG",2018
"8","Gerson Alencar de Lima Junior","gerson-magrao","Gerson Magrão","https://s.glbimg.com/es/sde/f/2018/05/07/b671b3790ed438968275eedce0fcd245_FORMATO.png",50401,11,"AME","mei","Provável",1.5,2.58,0.11,0.4,"América-MG",2018
"9","Paulo André Cren Benini","paulo-andre","Paulo André","https://s.glbimg.com/es/sde/f/2018/03/01/b7709326554a84fe9ce4ce6243d3be27_FORMATO.png",37604,11,"ATL","zag","Contundido",0,8.08,0,5.8,"Atlético-PR",2018
"10","Lucas Rios Marques","lucas","Lucas","https://s.glbimg.com/es/sde/f/2018/03/21/7a52d3010f3cf77c78569fca03e37727_FORMATO.png",50362,11,"VIT","lat","Nulo",0,5.17,0,1.62,"Vitória",2018
"11","Marcelo Oliveira Ferreira","marcelo-oliveira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/21/cd9984e989967919e3ef170f9dab23b7_FORMATO.png",50328,11,"GRE","lat","Contundido",0,2.98,0,0.5,"Grêmio",2018
"12","Carlos Eduardo Marques","carlos-eduardo","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2018/03/21/f5eb1f78647571d7e58db6a03eb7b42f_FORMATO.png",50369,11,"PAR","mei","Nulo",-0.3,4,-0.21,1.38,"Paraná",2018
