"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","ANO"
"1","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,23,293,"lat","Contundido",0,7.3,0,4.32,"Athlético-PR",2019
"2","Breno Vinicius Rodrigues Borges","breno","Breno","https://s.glbimg.com/es/sde/f/2018/09/27/3ded47ae372af2247cf245225f727efc_FORMATO.png",50408,23,267,"zag","Nulo",0,6,0,0,"Vasco",2019
"3","Evandro Goebel","evandro","Evandro","https://s.glbimg.com/es/sde/f/2019/07/23/786467c2a3fa4e560747d85deb202cf4_FORMATO.png",37614,23,277,"mei","Suspenso",-2.8,3.95,-1.29,1.04,"Santos",2019
"4","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2019/07/16/854eb848da41f2f6d32cdacb338e5e87_FORMATO.png",37655,23,290,"ata","Provável",2.9,3.57,0.86,0.36,"Goiás",2019
"5","Alecsandro Barbosa Felisbino","alecsandro","Alecsandro","https://s.glbimg.com/es/sde/f/2019/08/16/4a2c1f65c81e89225ad8cbc89dbf310c_FORMATO.png",37673,23,341,"ata","Nulo",0,4.13,0,0.77,"CSA",2019
"6","Ebert William Amâncio","betao","Betão","https://s.glbimg.com/es/sde/f/2019/02/18/c0b805cc5c8e5f13e496652b72658a40_FORMATO.png",37646,23,314,"zag","Provável",-1.6,3.64,-0.51,2.15,"Avaí",2019
"7","Ney Franco da Silveira Júnior","ney-franco","Ney Franco","https://s.glbimg.com/es/sde/f/2019/08/16/4fdb04d94b755837e1e0f7f90cf60442_FORMATO.png",37246,23,290,"tec","Provável",6.35,9.81,0.29,3.65,"Goiás",2019
"8","Eduardo Luís Abonizio de Souza","edu-dracena","Edu Dracena","https://s.glbimg.com/es/sde/f/2019/06/05/4b2eb6b4e8d69e5d9596ee97455c1859_FORMATO.png",37657,23,275,"zag","Nulo",0,6.97,0,4.7,"Palmeiras",2019
"9","Fábio Deivson Lopes Maciel","fabio","Fábio","https://s.glbimg.com/es/sde/f/2018/05/18/d4072db4bdda7615aec2517449afe555_FORMATO.png",37656,23,283,"gol","Provável",-2.3,9.29,-0.22,2.94,"Cruzeiro",2019
"10","Leonardo Renan Simões de Lacerda","leo","Léo","https://s.glbimg.com/es/sde/f/2018/05/18/07a11eb9e0ab294a13fe3b76d7e9393b_FORMATO.png",50459,23,283,"zag","Contundido",0,6.34,0,1.92,"Cruzeiro",2019
"11","Luis Antônio Venker de Menezes","mano-menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2019/09/17/46cf277e84eac2493bb162ec93f5690f_FORMATO.png",37281,23,275,"tec","Provável",3.45,9.88,0.07,3.68,"Palmeiras",2019
"12","Cícero Santos","cicero","Cícero","https://s.glbimg.com/es/sde/f/2019/03/22/127a99bc778de63bbb214dc7e6215725_FORMATO.png",37688,23,263,"mei","Provável",5.2,12.62,0.32,3.42,"Botafogo",2019
"13","Leonardo da Silva Moura","leo-moura","Léo Moura","https://s.glbimg.com/es/sde/f/2018/05/21/7d6781295f86c2cbf0d78d936349c8c8_FORMATO.png",37701,23,284,"lat","Provável",5.3,6.06,0.97,2.5,"Grêmio",2019
"14","Frederico Chaves Guedes","fred","Fred","https://s.glbimg.com/es/sde/f/2018/05/18/d0c4af39faf530d73e1192ba68d0ce20_FORMATO.png",38162,23,283,"ata","Provável",8.4,7.04,1.61,2.18,"Cruzeiro",2019
"15","Marcelo Boeck","marcelo-boeck","Marcelo Boeck","https://s.glbimg.com/es/sde/f/2019/03/22/4b4e1c64603c84d346f4ba4ad46fb562_FORMATO.png",37788,23,356,"gol","Provável",2,3.73,-1.4,2.58,"Fortaleza",2019
"16","Márcio Rafael Ferreira de Souza","rafinha","Rafinha","https://s.glbimg.com/es/sde/f/2019/06/26/4bdc0f48c7f1ccb066d6c8c92332453c_FORMATO.png",38144,23,262,"lat","Provável",7.1,10.66,0.41,4.72,"Flamengo",2019
"17","Anderson Pedro Nunes da Silva Campos","anderson","Anderson","https://s.glbimg.com/es/sde/f/2019/03/29/bbfcc261f62ebb5c1dbea1b7e31f6dca_FORMATO.png",38001,23,265,"gol","Nulo",0,2.08,0,-1,"Bahia",2019
"18","Henrique Pacheco de Lima","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/05/18/f4c3f244aefa8557f0db6db3c2b7328a_FORMATO.png",37694,23,283,"mei","Suspenso",0,7.29,0,3.11,"Cruzeiro",2019
"19","Carlos Eduardo Santos Oliveira","eduardo","Eduardo","https://s.glbimg.com/es/sde/f/2018/05/24/315077e18e31e9afaf1e1c4bcb25f7e2_FORMATO.png",50645,23,315,"lat","Provável",0,8.43,0,2.54,"Chapecoense",2019
"20","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2019/01/14/fa2170b10aa6b39a49f233749a326dec_FORMATO.jpeg",38140,23,275,"gol","Nulo",0,8,0,0,"Palmeiras",2019
"21","Rafael Augusto Sobis do Nascimento","rafael-sobis","Rafael Sobis","https://s.glbimg.com/es/sde/f/2019/03/29/391192f2c104011047dcb18e6855dd72_FORMATO.png",37798,23,285,"ata","Contundido",0,7.76,0,4.45,"Internacional",2019
"22","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2019/04/26/7bdeffe6895011f6895be4a6de311fbe_FORMATO.png",38509,23,262,"gol","Provável",4.7,8,-0.42,4.66,"Flamengo",2019
"23","Maicon Thiago Pereira de Souza","maicon","Maicon","https://s.glbimg.com/es/sde/f/2018/05/21/34502d57cb34fa46bd51d3bd901d38bb_FORMATO.png",38196,23,284,"mei","Provável",-2.4,6.56,-1.25,1.25,"Grêmio",2019
"24","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2018/05/07/98bee57585b8dde8e58e642b147a3a11_FORMATO.png",38229,23,282,"lat","Provável",0.4,9.22,-0.13,2.25,"Atlético-MG",2019
"25","Adriano Correia Claro","adriano","Adriano","https://s.glbimg.com/es/sde/f/2019/07/23/1ab88fb0fec090bf3ace213d14c97792_FORMATO.png",38336,23,293,"lat","Nulo",-2.5,8.91,-1.34,1.72,"Athlético-PR",2019
"26","Diego Tardelli Martins","diego-tardelli","Diego Tardelli","https://s.glbimg.com/es/sde/f/2019/06/20/b08c001d25a758214f1ef1618a1818fb_FORMATO.png",38231,23,284,"ata","Nulo",-0.2,8.2,-2.14,2.44,"Grêmio",2019
"27","João Carlos Heidemann","joao-carlos","João Carlos","https://s.glbimg.com/es/sde/f/2019/03/23/b148048ebdcdc02c79c893ae63f6e80d_FORMATO.png",69010,23,341,"gol","Nulo",0,1.19,0,-0.65,"CSA",2019
"28","Wellington Pereira do Nascimento","wellington-paulista","Wellington Paulista","https://s.glbimg.com/es/sde/f/2019/03/23/2138dee0c7885fcda59ec315f3f3c8bd_FORMATO.png",38279,23,356,"ata","Provável",4.2,11.18,-0.05,4.38,"Fortaleza",2019
"29","Carlos Andrade Souza","carlinhos","Carlinhos","https://s.glbimg.com/es/sde/f/2019/03/23/f1d152fe2c81a717de8d0f472e57f90d_FORMATO.png",38451,23,341,"lat","Provável",6.7,8.87,0.74,5.33,"CSA",2019
"30","Thiago Neves Augusto","thiago-neves","Thiago Neves","https://s.glbimg.com/es/sde/f/2018/05/07/d1d468f88a9bce01adaf6cdad34d20ae_FORMATO.png",38277,23,283,"mei","Nulo",2.9,8.52,0.34,4.22,"Cruzeiro",2019
"31","Diego Cavalieri","diego-cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2019/03/22/660661f23332e4ee9ccda585ec5cec21_FORMATO.png",38431,23,263,"gol","Provável",0,5.35,0,5,"Botafogo",2019
"32","Jadson Rodrigues da Silva","jadson","Jadson","https://s.glbimg.com/es/sde/f/2019/05/23/45121fe0ca2edcaff01e4403c67f4d71_FORMATO.png",38315,23,264,"mei","Provável",0,2.92,0.13,-0.11,"Corinthians",2019
"33","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2019/03/30/d941b7a4bb640424918c02ce3d930666_FORMATO.png",38394,23,293,"zag","Provável",-0.5,0.87,-0.4,-1.57,"Athlético-PR",2019
"34","Marcos Roberto da Silva Barbosa","marquinhos-silva","Marquinhos Silva","https://s.glbimg.com/es/sde/f/2019/03/25/8dc24bebfd563fe4253dc5e8837b3121_FORMATO.png",38515,23,314,"zag","Nulo",0,6.34,0,2.08,"Avaí",2019
"35","Márcio Rodrigues Araújo","marcio-araujo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2018/05/24/ad0bb7dfe5663137f7dcd53d1cddc61e_FORMATO.png",38311,23,315,"mei","Provável",2.5,9.01,0.45,2.98,"Chapecoense",2019
"36","Leandro Castan da Silva","leandro-castan","Leandro Castan","https://s.glbimg.com/es/sde/f/2019/05/22/05b8bf811c2a379cc00d41e1b7e66beb_FORMATO.png",38505,23,267,"zag","Suspenso",-3.3,8.96,-0.44,3.91,"Vasco",2019
"37","Vanderlei Luxemburgo da Silva","vanderlei-luxemburgo","Vanderlei Luxemburgo","https://s.glbimg.com/es/sde/f/2019/05/20/9fcaa473e56ff2a1a519c0b461160bc0_FORMATO.png",41327,23,267,"tec","Provável",0.77,7.73,-0.07,2.81,"Vasco",2019
"38","Edílson Mendes Guimarães","edilson","Edílson","https://s.glbimg.com/es/sde/f/2018/05/18/44e434adf82fc311f1b839c8a9d7d38d_FORMATO.png",38523,23,283,"lat","Provável",0,5.01,0,1.07,"Cruzeiro",2019
"39","Anderson Hernanes de Carvalho Andrade Lima","hernanes","Hernanes","https://s.glbimg.com/es/sde/f/2019/04/01/9de4879116fa3172f964c37907406613_FORMATO.png",38648,23,276,"mei","Provável",1.1,13.31,-0.42,4.23,"São Paulo",2019
"40","Filipe Luís Kasmirski","filipe-luis","Filipe Luís","https://s.glbimg.com/es/sde/f/2019/07/23/ff91196597702ad18d00fa20ff9b2972_FORMATO.png",38750,23,262,"lat","Contundido",0,14.02,0,6.19,"Flamengo",2019
"41","Fernando Augusto de Castro Ribeiro","fernando-castro","Fernando Castro","https://s.glbimg.com/es/sde/f/2019/03/29/5d48e68e633e025554f7fb03e89b57cf_FORMATO.png",102609,23,265,"gol","Nulo",0,2,0,0,"Bahia",2019
"42","Nílton Ferreira Júnior","nilton","Nilton","https://s.glbimg.com/es/sde/f/2019/05/14/417d6279fba50eafc9af2314f1114933_FORMATO.png",38573,23,341,"mei","Nulo",0,2.88,0,0.16,"CSA",2019
"43","Felipe Melo de Carvalho","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2019/01/14/77b041717dd4a70bd6537a299732619b_FORMATO.jpeg",38545,23,275,"mei","Provável",0.9,6.37,-0.51,2.24,"Palmeiras",2019
"44","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2019/09/24/0f7dce66e695049e222a3bb848eb993d_FORMATO.png",42116,23,275,"ata","Provável",-0.9,7.69,-1.67,3.74,"Palmeiras",2019
"45","Douglas dos Santos","douglas","Douglas","https://s.glbimg.com/es/sde/f/2019/03/25/5842a2e0a1d8ab226f0555c0667dfc11_FORMATO.png",38738,23,314,"mei","Provável",0,4.42,-0.38,-0.11,"Avaí",2019
"46","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2018/05/21/735c0f10e782fe88dc4dde7e95494223_FORMATO.png",41929,23,284,"tec","Provável",4.41,12.6,0.33,4.51,"Grêmio",2019
"47","Osvaldo Lourenço Filho","osvaldo","Osvaldo","https://s.glbimg.com/es/sde/f/2019/03/22/cf67516d72742aa5e48694567a33d6b6_FORMATO.png",42222,23,356,"ata","Provável",1.7,5.3,-0.15,1.95,"Fortaleza",2019
"48","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2019/04/26/03ca6e190e55bbddf134cff00a44c25c_FORMATO.png",38909,23,262,"mei","Contundido",0,5.52,0,1.53,"Flamengo",2019
"49","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2018/05/18/4e9c58c4c55851aececb2f797dca0723_FORMATO.png",42145,23,283,"lat","Provável",1.8,8.89,-0.22,3.86,"Cruzeiro",2019
