"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","ANO"
"530","Elton Junior Melo Ataíde","elton","Elton","https://s.glbimg.com/es/sde/f/2019/03/29/ba5687c390564e23e74776f29ea757f3_FORMATO.png",71719,35,265,"mei","Contundido",0,5.22,0,1.71,"Bahia",2019
"531","Raniel Santana de Vasconcelos","raniel","Raniel","https://s.glbimg.com/es/sde/f/2019/07/10/b2a83db69e1af02d9bff2563564fa017_FORMATO.png",86797,35,276,"ata","Nulo",0,5.37,0,1.48,"São Paulo",2019
"532","Vitor Hugo Naum dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2019/08/09/4c1f2f2ebbf72fa37a797a53aababd3a_FORMATO.png",101960,35,293,"ata","Nulo",0,5.26,0,3.85,"Athlético-PR",2019
"533","Braian Ezequiel Romero","braian-romero","Braian Romero","https://s.glbimg.com/es/sde/f/2019/03/30/4eab9bac11e6c0d60d5e717b2474963f_FORMATO.png",101997,35,293,"ata","Nulo",0,3.99,0,2.7,"Athlético-PR",2019
"534","Agenor Detofol","agenor","Agenor","https://s.glbimg.com/es/sde/f/2019/04/28/250bbbb44b3bc7a9a330aa4be2da6f11_FORMATO.png",71724,35,266,"gol","Nulo",0,3.05,0,2.37,"Fluminense",2019
"535","Ruan Vinícius Silva de Jesus","ruan","Ruan",NA,95860,35,315,"zag","Nulo",0,1,0,0,"Chapecoense",2019
"536","Ewandro Felipe de Lima Costa","ewandro","Ewandro","https://s.glbimg.com/es/sde/f/2019/09/17/ce3388e9c6a04c049bf26d2d4e89696b_FORMATO.png",86842,35,266,"ata","Nulo",0,2.26,0,-1.25,"Fluminense",2019
"537","Emerson Raymundo Santos","emerson-santos","Emerson Santos","https://s.glbimg.com/es/sde/f/2018/07/20/c87125fb04d89c8e72a797a7b0ceeddb_FORMATO.png",86972,35,285,"zag","Nulo",0,4.12,0,2.88,"Internacional",2019
"538","Willian Popp","willian-popp","Willian Popp","https://s.glbimg.com/es/sde/f/2019/09/27/47e9584c49504ee10a3a5473853a0eed_FORMATO.jpeg",86890,35,354,"ata","Nulo",0,1.81,0,-1.8,"Ceará",2019
"539","Hugo da Conceição Borges Alves","hugo-borges","Hugo Borges","https://s.glbimg.com/es/sde/f/2018/09/27/c26012bba743c6c3a958bb3650c5a7ed_FORMATO.png",95875,35,267,"ata","Nulo",0,2,0,0,"Vasco",2019
"540","José Welison da Silva","jose-welison","José Welison","https://s.glbimg.com/es/sde/f/2018/07/11/1d923ab86aabd29245dae5fd1338d9bd_FORMATO.png",86859,35,282,"mei","Nulo",0,3.83,0,1.59,"Atlético-MG",2019
"541","Pedro Julião Azevedo Junior","juninho-quixada","Juninho Quixadá","https://s.glbimg.com/es/sde/f/2019/03/28/290762becedf23c80b831f923f4b7b33_FORMATO.png",71787,35,354,"mei","Nulo",0,3.59,0,1.4,"Ceará",2019
"542","Gustavo Henrique da Silva Sousa","gustavo","Gustavo","https://s.glbimg.com/es/sde/f/2019/05/23/e465cd357033b982d32052d767bea71d_FORMATO.png",86932,35,264,"ata","Provável",15.2,6.42,2.23,2.48,"Corinthians",2019
"543","Juan Sebastián Quintero Fletcher","quintero","Quintero","https://s.glbimg.com/es/sde/f/2019/03/22/df21f8c767acbe98de2f1a88be61c8e8_FORMATO.png",96382,35,356,"zag","Provável",-0.9,3.15,-0.38,1.43,"Fortaleza",2019
"544","Muriel Gustavo Becker","muriel","Muriel","https://s.glbimg.com/es/sde/f/2019/07/08/b55d0e8a8f26380aedc02448bac387cb_FORMATO.png",69041,35,266,"gol","Contundido",0,6.82,0,5.13,"Fluminense",2019
"545","Vinicius Moreira de Lima","lima","Lima","https://s.glbimg.com/es/sde/f/2019/08/16/8e3c5ccebdf6654eccebf07bede22004_FORMATO.png",96340,35,354,"mei","Nulo",0,5.53,0,4.04,"Ceará",2019
"546","Leonardo Gomes da Conceição Silva","leonardo","Leonardo","https://s.glbimg.com/es/sde/f/2018/05/21/15d96549307788253f2aba10bff0c973_FORMATO.png",86973,35,284,"lat","Contundido",0,5.41,0,2.7,"Grêmio",2019
"547","José Carlos Cracco Neto","zeca","Zeca","https://s.glbimg.com/es/sde/f/2018/04/24/ef12015cf94f9b6c7ab39c4b092ba4a4_FORMATO.png",87192,35,285,"lat","Contundido",0,7.31,0,3.67,"Internacional",2019
"548","Danilo Fernandes Batista","danilo-fernandes","Danilo Fernandes","https://s.glbimg.com/es/sde/f/2019/04/26/ff9a95bc3d5696feb8d8d55b5b47f12b_FORMATO.png",69051,35,285,"gol","Nulo",0,6.1,0,6.14,"Internacional",2019
"549","Matheus Mascarenhas dos Santos Raimundo","mascarenhas","Mascarenhas","https://s.glbimg.com/es/sde/f/2019/09/16/7ba8ae47ccaf782951396096b7f884be_FORMATO.png",99721,35,266,"lat","Nulo",0,1.75,0,-2.3,"Fluminense",2019
"550","Evando Spinassé Camillato","evando-camillato","Evando Camillato","https://s.glbimg.com/es/sde/f/2019/10/11/bb63b5c764d98de9117d83e7cf71eb90_FORMATO.png",96454,35,314,"tec","Provável",1.28,6.34,-0.12,1.75,"Avaí",2019
"551","Daniel de Sousa Brito","daniel","Daniel","https://s.glbimg.com/es/sde/f/2019/04/26/ac6062a69b3c066cd610015cd65af6e5_FORMATO.png",96468,35,285,"gol","Nulo",0,3,0,0,"Internacional",2019
"552","Nathan Allan de Souza","nathan","Nathan","https://s.glbimg.com/es/sde/f/2018/07/25/2ebd70cae4e549a49e708c60abbee23a_FORMATO.png",87009,35,282,"mei","Contundido",0,5.95,0,2.98,"Atlético-MG",2019
"553","Maurício Tomazi Pinheiro","mauricio","Maurício","https://s.glbimg.com/es/sde/f/2019/03/26/1f39cc62496e44034c3eeebbdf31abf6_FORMATO.png",96464,35,314,"zag","Nulo",0,3,0,0,"Avaí",2019
"554","Paulo Roberto da Silva","paulo-roberto","Paulo Roberto","https://s.glbimg.com/es/sde/f/2019/03/22/98a0ece4c6b60ee9652ec2c1e371f056_FORMATO.png",69047,35,356,"mei","Nulo",0,3.66,0,0.68,"Fortaleza",2019
"555","Brenner Souza da Silva","brenner","Brenner","https://s.glbimg.com/es/sde/f/2019/05/25/2d0ecae03a030c68b426c28eb59b2222_FORMATO.png",99789,35,266,"ata","Nulo",0,3.14,0,2.3,"Fluminense",2019
"556","Allan Rodrigues de Souza","allan","Allan","https://s.glbimg.com/es/sde/f/2019/09/16/12ceec5319eba91a016fb4338bc4017a_FORMATO.png",96652,35,266,"mei","Provável",-0.5,1.87,-0.21,1,"Fluminense",2019
"557","Pedro Henrique Ribeiro Gonçalves","pedro-henrique","Pedro Henrique","https://s.glbimg.com/es/sde/f/2019/06/29/43b11555e62d7cd38934e44d0fccb5c9_FORMATO.png",87225,35,293,"zag","Nulo",0,8.69,0,4.46,"Athlético-PR",2019
"558","Ronei Gebing","ronei","Ronei","https://s.glbimg.com/es/sde/f/2017/04/25/fc5cc48d48a258ae6e11966c17fc3fbb_FORMATO.png",98419,35,315,"mei","Nulo",0,1,0,0,"Chapecoense",2019
"559","Leonardo Thomas Lopes","leo-lopes","Léo Lopes","https://s.glbimg.com/es/sde/f/2019/03/25/75373f3be71d114621aba37a7d05db97_FORMATO.png",96965,35,314,"gol","Nulo",0,1,0,0,"Avaí",2019
"560","Ricardo Bueno da Silva","ricardo-bueno","Ricardo Bueno","https://s.glbimg.com/es/sde/f/2019/07/08/1f73cdfaf6d211abebbace364f7e2da6_FORMATO.png",69141,35,341,"ata","Provável",2,14.03,-0.61,3.53,"CSA",2019
"561","Pablo Felipe Teixeira","pablo","Pablo","https://s.glbimg.com/es/sde/f/2019/04/01/2183894813bb5543356e56f459ac6b03_FORMATO.png",69138,35,276,"ata","Provável",4.4,12.55,0.72,2.85,"São Paulo",2019
"562","Victor Hugo Soares dos Santos","kanu","Kanu","https://s.glbimg.com/es/sde/f/2018/05/17/2db8b29bbc16d8473f93bd1f8a0351dc_FORMATO.png",98484,35,263,"zag","Nulo",0,0.89,0,0.33,"Botafogo",2019
"563","Yeferson Julio Soteldo Martínez","soteldo","Soteldo","https://s.glbimg.com/es/sde/f/2019/03/29/31e7873f19386d05456c38558b181df5_FORMATO.png",87258,35,277,"mei","Suspenso",-3.8,7.19,-2.56,4.07,"Santos",2019
"564","Vitor Eudes de Souza Costa","vitor-eudes","Vitor Eudes","https://s.glbimg.com/es/sde/f/2018/11/22/3fc8cbbb0eff85d2cfd8e31bd040d110_FORMATO.png",102137,35,283,"gol","Nulo",0,2,0,0,"Cruzeiro",2019
"565","Lucas Halter","lucas-halter","Lucas Halter","https://s.glbimg.com/es/sde/f/2019/05/18/8451dd8fd1ce139e8f57e002de068475_FORMATO.png",102253,35,293,"zag","Nulo",0,3.09,0,1.61,"Athlético-PR",2019
"566","Mauro Boselli","boselli","Boselli","https://s.glbimg.com/es/sde/f/2019/05/23/6a353db88a96b39b63e2ff4a5b79226d_FORMATO.png",69161,35,264,"ata","Nulo",8,5.54,1.33,3.63,"Corinthians",2019
"567","Arthur Gomes Lourenço","arthur-gomes","Arthur Gomes","https://s.glbimg.com/es/sde/f/2019/05/08/05a9ae684d7d1c4ad13ff91e04c82d09_FORMATO.png",96966,35,315,"ata","Nulo",0.5,4.61,0.39,2.23,"Chapecoense",2019
"568","Walter Kannemann","kannemann","Kannemann","https://s.glbimg.com/es/sde/f/2018/05/21/7a4b8f949ed4d8b668d8c40a33e50edb_FORMATO.png",87342,35,284,"zag","Provável",3.9,12.26,0.08,4.48,"Grêmio",2019
"569","Richard Darío Franco Escobar","richard-franco","Richard Franco","https://s.glbimg.com/es/sde/f/2019/09/17/0411bb5e23fcca573faf3fca461b6b89_FORMATO.png",99802,35,314,"mei","Provável",-1.1,5.12,-0.56,2.81,"Avaí",2019
"570","Rodolfo Vicente Gamarra Varela","gamarra","Gamarra","https://s.glbimg.com/es/sde/f/2019/07/08/d5b3fba549a4fd01075274610e2c1fe0_FORMATO.png",69288,35,341,"ata","Nulo",0,5.34,0,0.2,"CSA",2019
